Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Full-Time Equivalent (FTE) Teachers [District] 2009-10,Full-Time Equivalent (FTE) Teachers [Public School] 2009-10,Pupil/Teacher Ratio [District] 2009-10,Pupil/Teacher Ratio [Public School] 2009-10,Prekindergarten Teachers [District] 2009-10,Kindergarten Teachers [District] 2009-10,Elementary Teachers [District] 2009-10,Secondary Teachers [District] 2009-10,Ungraded Teachers [District] 2009-10,Total Staff [District] 2009-10,Instructional Aides [District] 2009-10,Instructional Coordinators [District] 2009-10,Elementary Guidance Counselors [District] 2009-10,Secondary Guidance Counselors [District] 2009-10,Other Guidance Counselors [District] 2009-10,Total Guidance Counselors [District] 2009-10,Librarians/Media Specialists [District] 2009-10,Library Media Support Staff [District] 2009-10,LEA Administrators [District] 2009-10,LEA Administrative Support Staff [District] 2009-10,School Administrators [District] 2009-10,School Administrative Support Staff [District] 2009-10,Student Support Services Staff [District] 2009-10,Other Support Services Staff [District] 2009-10
HAMMOND CENTRAL SCHOOL DISTRICT,New York,3613440,26.00,28.01,12.65,11.75,="0.50",1.00,9.86,11.64,3.00,56.20,8.00,0,1.00,1.00,†,2.00,1.00,0,1.00,2.00,0,0,1.00,15.20
HAMMONDSPORT CENTRAL SCHOOL DISTRICT,New York,3613470,53.92,54.02,9.74,9.72,0,3.36,18.37,24.56,7.63,117.31,16.00,0,0,1.00,†,1.00,="0.99",0,1.00,8.40,1.90,="0.45",2.65,31.00
HAMMONTON SCHOOL DISTRICT,New Jersey,3406570,251.00,207.00,13.88,16.68,7.00,7.00,112.00,89.00,36.00,501.00,66.00,7.00,4.00,5.00,†,9.00,3.00,–,4.00,15.00,8.00,25.00,24.00,89.00
HAMPDEN CHARTER SCHOOL OF SCIENCE (DISTRICT),Massachusetts,2500522,14.54,14.54,13.14,13.14,0,0,14.54,0,†,20.79,0,="0.80",0,0,†,0,0,0,1.67,0,1.78,1.00,1.00,0
HAMPDEN-WILBRAHAM,Massachusetts,2505730,244.24,244.25,14.74,14.74,3.60,12.85,145.77,82.02,†,418.23,79.06,0,2.00,5.00,†,7.00,1.00,5.70,6.00,11.50,13.33,17.50,27.60,5.30
HAMPSHIRE,Massachusetts,2505740,66.30,66.30,12.28,12.28,0,0,0,66.30,†,106.25,16.00,="0.37",0,3.50,†,3.50,1.00,3.00,1.41,2.47,3.00,4.00,5.20,0
HAMPSHIRE COUNTY SCHOOLS,West Virginia,5400420,247.75,238.75,14.74,15.30,10.00,13.00,109.06,115.69,†,479.77,54.02,6.00,3.00,5.00,†,8.00,2.00,–,8.50,15.00,12.50,2.00,19.50,104.50
HAMPSTEAD SCHOOL DISTRICT,New Hampshire,3303480,85.00,85.00,17.75,11.64,2.00,3.00,80.00,0,†,236.70,60.30,–,17.60,0,†,17.60,2.00,3.00,0,0,23.00,10.00,–,35.80
HAMPTON 01,South Carolina,4502430,185.00,184.00,14.41,14.49,6.50,11.50,118.00,49.00,†,314.90,44.00,1.10,5.50,3.00,†,8.50,6.00,2.00,4.80,17.50,11.90,20.00,13.10,1.00
HAMPTON 02,South Carolina,4502460,73.50,73.50,15.07,15.07,2.00,3.00,42.00,26.50,†,134.30,26.00,2.50,1.60,1.60,†,3.20,3.00,1.00,7.30,5.00,4.00,1.00,6.80,1.00
