Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Full-Time Equivalent (FTE) Teachers [District] 2009-10,Full-Time Equivalent (FTE) Teachers [Public School] 2009-10,Pupil/Teacher Ratio [District] 2009-10,Pupil/Teacher Ratio [Public School] 2009-10,Prekindergarten Teachers [District] 2009-10,Kindergarten Teachers [District] 2009-10,Elementary Teachers [District] 2009-10,Secondary Teachers [District] 2009-10,Ungraded Teachers [District] 2009-10,Total Staff [District] 2009-10,Instructional Aides [District] 2009-10,Instructional Coordinators [District] 2009-10,Elementary Guidance Counselors [District] 2009-10,Secondary Guidance Counselors [District] 2009-10,Other Guidance Counselors [District] 2009-10,Total Guidance Counselors [District] 2009-10,Librarians/Media Specialists [District] 2009-10,Library Media Support Staff [District] 2009-10,LEA Administrators [District] 2009-10,LEA Administrative Support Staff [District] 2009-10,School Administrators [District] 2009-10,School Administrative Support Staff [District] 2009-10,Student Support Services Staff [District] 2009-10,Other Support Services Staff [District] 2009-10
SPRINGFIELD LOCAL,Ohio,3904822,219.49,210.70,17.09,17.80,="0.50",16.13,97.26,100.07,5.53,453.49,2.00,0,–,–,9.00,9.00,2.00,5.70,3.00,21.60,12.00,27.10,29.60,122.00
SPRINGFIELD LOCAL,Ohio,3905006,140.60,140.60,16.77,16.77,2.00,8.53,60.99,68.80,="0.28",270.18,16.05,0,–,–,4.00,4.00,1.00,="0.50",3.00,12.00,8.00,9.00,21.24,54.79
SPRINGFIELD PLATTEVIEW COMMUNITY SCHOOLS,Nebraska,3175630,84.00,84.00,12.56,12.56,2.00,4.00,36.20,41.80,†,180.39,32.22,1.00,1.00,2.00,†,3.00,2.00,3.75,2.00,3.00,5.00,7.00,4.60,32.82
SPRINGFIELD PREPARATORY AND FITNESS ACADEMY,Ohio,3900551,12.99,13.00,13.39,13.38,0,2.15,9.19,1.65,0,20.65,2.00,="0.11",–,–,†,–,0,0,1.22,="0.33",0,0,4.00,0
SPRINGFIELD PUBLIC SCHOOL DISTRICT,Minnesota,2733390,41.59,41.42,14.11,14.05,="0.28",2.17,16.85,22.12,="0.17",72.35,12.19,0,="0.17",="0.50",†,="0.67",="0.60",0,1.28,2.00,2.00,2.00,2.47,7.55
SPRINGFIELD PUBLIC SCHOOLS,New Jersey,3415630,162.00,138.00,13.47,15.64,5.00,5.00,68.00,60.00,24.00,308.00,42.00,7.00,5.00,2.00,†,7.00,3.00,–,3.00,12.00,8.00,11.00,14.00,39.00
SPRINGFIELD R-XII,Missouri,2928860,1632.11,1599.98,15.12,15.26,52.74,95.00,683.36,801.01,†,3390.76,391.99,55.62,29.80,37.15,1.49,68.44,37.00,0,13.06,182.00,75.00,2.00,160.54,773.00
SPRINGFIELD SCHOOL DISTRICT,Vermont,5007530,121.70,121.70,11.24,11.69,0,5.00,42.10,56.00,18.60,285.45,96.00,="0.50",3.00,5.00,†,8.00,5.00,="0.50",0,0,6.00,8.50,17.15,22.10
SPRINGFIELD SCHOOL DISTRICT NO. RE-4,Colorado,="0806630",29.50,29.50,10.17,10.17,1.75,2.38,11.94,13.43,†,56.09,5.76,1.00,0,1.00,†,1.00,0,1.00,3.94,1.42,1.00,3.06,1.00,7.41
SPRINGFIELD SD,Pennsylvania,4222600,238.00,238.00,14.87,14.87,0,6.50,111.20,101.80,18.50,464.00,65.00,2.00,2.00,8.00,†,10.00,2.00,4.00,8.00,17.00,8.00,12.50,7.00,90.50
SPRINGFIELD SD 186,Illinois,1737080,1130.04,1089.54,13.37,13.89,30.00,50.89,757.80,291.35,0,1361.38,–,11.63,0,0,†,0,10.00,–,22.00,–,90.00,–,97.71,–
SPRINGFIELD SD 19,Oregon,4111670,526.93,524.32,20.51,20.34,0,30.03,352.32,144.58,†,1216.63,232.37,3.00,–,–,20.29,20.29,9.57,4.08,3.00,41.56,31.00,56.12,27.48,261.23
SPRINGFIELD SUPERVISORY DISTRICT,Vermont,5099956,13.80,†,4.86,†,0,0,0,11.00,2.80,63.80,17.00,2.00,0,0,†,0,0,0,2.00,12.70,2.00,2.00,4.70,7.60
SPRINGFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,3415660,24.00,19.00,13.17,16.63,0,0,18.00,1.00,5.00,47.00,8.00,1.00,0,0,†,0,1.00,–,2.00,0,1.00,3.00,3.00,4.00
SPRINGFIELD TOWNSHIP SD,Pennsylvania,4222620,169.91,168.92,12.19,12.26,0,10.00,70.94,67.61,21.36,392.23,72.50,2.00,2.67,4.33,†,7.00,4.00,11.50,6.00,16.50,7.00,22.00,10.82,63.00
SPRINGFIELD-CLARK COUNTY,Ohio,3905153,53.01,47.01,0,0,0,0,0,46.01,7.00,102.00,2.00,0,–,–,2.00,2.00,0,0,2.00,1.00,0,15.99,6.00,20.00
SPRINGHILL ELEM,Montana,3024810,1.06,1.06,12.26,12.26,–,–,1.06,0,†,1.09,0,0,0,0,†,0,="0.03",–,0,–,0,–,0,–
SPRINGLAKE-EARTH ISD,Texas,4841250,37.96,†,11.20,11.19,="0.96",2.00,12.60,21.26,1.14,51.92,3.25,0,–,–,†,–,1.00,1.00,1.00,0,2.00,0,0,5.71
SPRINGPORT PUBLIC SCHOOLS,Michigan,2632610,56.70,56.70,18.41,18.22,1.00,2.50,20.70,25.50,7.00,127.55,9.30,1.60,="0.50",2.00,†,2.50,0,0,1.00,1.00,3.80,5.60,11.70,34.35
SPRINGS UNION FREE SCHOOL DISTRICT,New York,3627900,58.17,52.02,11.02,12.32,1.00,4.51,31.51,12.15,9.00,112.07,22.00,0,1.50,0,†,1.50,1.00,1.00,2.00,4.00,1.00,1.00,3.00,17.40
SPRINGS VALLEY COM SCHOOL CORP,Indiana,1810980,51.00,50.85,18.73,18.78,0,4.00,24.00,23.00,0,146.00,35.00,5.00,1.00,1.00,†,2.00,1.00,1.00,1.00,0,3.00,7.00,2.00,38.00
SPRINGTOWN ISD,Texas,4841280,247.13,247.00,14.20,14.21,8.31,14.88,91.06,109.98,22.90,482.82,64.00,2.76,–,–,10.00,10.00,4.00,1.00,3.00,12.00,15.00,8.50,14.66,100.77
SPRINGVILLE COMM SCHOOL DISTRICT,Iowa,1927060,41.86,41.86,10.37,10.46,2.00,2.00,11.96,25.90,†,71.06,4.90,0,1.00,1.00,†,2.00,1.00,1.80,2.00,1.50,1.00,2.00,2.00,11.00
SPRINGVILLE UNION ELEMENTARY,California,="0637770",19.00,19.00,19.11,19.11,–,–,19.00,0,†,32.00,6.00,–,–,–,†,–,–,–,0,–,1.00,–,0,6.00
SPRINGVILLE-GRIFFITH INSTITUTE CENTRAL SCHOOL DISTRICT,New York,3612990,169.63,169.31,12.37,12.39,0,10.22,69.04,68.71,21.66,342.60,36.00,1.33,2.80,4.20,†,7.00,3.75,0,3.00,20.00,6.00,5.59,8.00,82.30
SPUR ISD,Texas,4800002,28.00,28.00,11.11,11.11,1.00,2.00,10.64,13.36,1.00,59.30,7.00,0,–,–,†,–,1.00,0,2.00,2.00,2.00,2.00,2.00,13.30
SPURGER ISD,Texas,4841340,33.73,33.74,10.73,10.73,0,2.35,13.35,14.32,3.71,67.86,6.92,="0.29",–,–,1.00,1.00,1.00,0,1.00,2.00,2.00,4.00,1.48,14.44
ST ANNE CCSD 256,Illinois,1737120,25.38,24.38,14.18,14.73,1.00,2.00,22.38,0,0,30.81,–,0,0,0,†,0,1.00,–,1.00,–,1.00,–,2.43,–
ST ANNE CHSD 302,Illinois,1737140,17.00,17.00,13.47,13.47,0,0,0,17.00,0,20.00,–,0,0,1.00,†,1.00,0,–,1.00,–,1.00,–,0,–
ST ANSGAR COMM SCHOOL DISTRICT,Iowa,1925200,42.67,42.67,15.49,15.23,0,2.67,17.36,22.64,†,76.27,8.40,0,1.00,1.00,†,2.00,0,1.80,1.50,1.00,3.00,2.00,0,13.90
ST ANTHONY SCHOOL,Texas,4800248,18.89,18.87,15.25,15.26,0,2.51,14.06,2.20,="0.12",34.89,="0.50",1.00,–,–,†,–,0,0,1.33,="0.50",1.67,1.00,0,10.00
ST BERNARD-ELMWOOD PLACE CITY,Ohio,3904471,60.71,59.51,15.91,16.23,3.00,5.31,27.58,24.82,0,119.48,16.30,0,–,–,1.00,1.00,1.00,0,3.00,3.75,4.00,4.00,7.02,18.70
ST CHARLES CUSD 303,Illinois,1737170,881.70,879.70,15.83,15.76,5.00,32.50,546.38,297.82,0,1039.56,–,2.00,10.00,10.89,†,20.89,18.56,–,13.89,–,37.34,–,65.18,–
ST CLAIR CO. ACADEMY OF STYLE,Michigan,2600332,2.00,2.00,0,0,0,0,0,2.00,0,3.00,1.00,0,0,0,†,0,0,0,0,0,0,0,0,0
ST CLAIR CO/SWIC CTE SYSTEM 460,Illinois,1700297,="0.11",†,†,†,0,0,0,="0.11",0,="0.63",–,0,0,0,†,0,0,–,="0.52",–,0,–,0,–
ST CLAIR COUNTY,Alabama,="0103062",533.00,533.00,15.73,15.73,4.00,59.00,250.50,219.50,†,899.20,–,–,13.00,6.34,1.00,20.34,16.50,0,10.43,9.50,32.57,35.50,21.00,220.36
ST CLAIR ROE,Illinois,1700208,9.31,†,0,4.42,0,="0.52",1.73,7.06,0,12.85,–,="0.52",0,0,†,0,0,–,="0.32",–,1.87,–,="0.83",–
ST CLAIR ROE SPECIAL EDUCATION,Illinois,1700147,1.83,†,†,†,1.83,0,0,0,0,2.04,–,0,0,0,†,0,0,–,="0.21",–,0,–,0,–
ST CLAIRSVILLE-RICHLAND CITY,Ohio,3904599,93.94,93.30,18.05,18.18,2.00,6.97,42.47,42.37,="0.13",172.67,9.80,0,–,–,4.00,4.00,="0.71",0,3.00,4.33,3.00,2.00,14.67,37.22
ST COLETTA SPECIAL EDUCATION PCS,District of Columbia,1100064,38.00,38.00,5.92,5.92,0,0,0,0,38.00,222.00,137.00,5.00,0,0,†,0,0,0,0,0,5.00,6.00,31.00,0
ST DAVID UNIFIED DISTRICT,Arizona,="0408020",31.00,31.00,14.65,14.65,0,0,21.68,9.32,†,64.00,12.50,0,="0.67",="0.33",†,1.00,0,0,1.00,0,2.00,7.00,3.25,6.25
ST EDWARD PUBLIC SCHOOLS,Nebraska,3176980,22.00,22.00,7.05,7.05,0,1.00,8.50,12.50,†,34.56,1.00,0,="0.25",="0.50",†,="0.75",="0.25",1.00,="0.50",1.00,="0.50",1.00,="0.56",6.00
ST ELMO CUSD 202,Illinois,1737230,37.00,37.00,13.92,13.76,1.00,2.00,18.00,16.00,0,42.00,–,0,0,0,1.00,1.00,1.00,–,1.00,–,2.00,–,0,–
ST FRANCIS COMM SCH,Kansas,2011880,29.40,29.40,9.97,9.97,0,1.00,13.30,15.10,0,49.50,4.80,0,0,0,†,0,1.00,0,1.00,1.00,1.00,1.60,0,9.70
ST GEORGE CCSD 258,Illinois,1737320,27.00,26.00,17.81,18.27,1.00,2.00,24.00,0,0,31.00,–,0,0,0,†,0,0,–,1.00,–,1.00,–,2.00,–
ST HELENS SD 502,Oregon,4111720,171.11,170.01,21.05,20.89,1.00,8.81,107.99,53.31,†,325.73,41.37,1.25,–,–,7.75,7.75,2.00,4.33,3.00,11.22,11.50,13.00,13.29,45.91
ST HENRY CONSOLIDATED LOCAL,Ohio,3904858,60.39,58.38,17.12,17.71,0,2.61,29.38,28.09,="0.31",110.16,7.34,0,–,–,3.00,3.00,0,1.86,2.00,2.56,3.00,4.00,5.67,20.34
ST HOPE LEADERSHIP ACADEMY CHARTER SCHOOL,New York,3600958,18.99,19.00,10.90,10.89,0,0,8.53,7.46,3.00,18.99,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ST IGNATIUS K-12 SCHOOLS,Montana,3006110,39.87,39.88,12.62,12.61,–,–,26.15,13.72,†,57.87,12.00,0,1.50,="0.50",†,2.00,1.00,–,1.00,–,2.00,–,0,–
ST JOHN 3,North Dakota,3817460,28.72,28.72,12.29,12.29,0,1.00,19.00,8.72,†,50.45,4.00,1.27,–,–,="0.60",="0.60",="0.50",0,2.03,0,1.33,0,="0.50",11.50
ST JOHN-HUDSON,Kansas,2011910,32.40,32.40,10.25,10.22,1.00,1.00,14.00,16.40,0,60.70,5.00,="0.70",0,="0.60",†,="0.60",1.80,2.00,1.00,2.00,2.00,2.00,1.70,9.50
ST JOHNS UNIFIED DISTRICT,Arizona,="0408080",58.00,58.00,14.95,15.69,0,2.00,35.00,21.00,†,133.95,21.85,0,0,1.00,†,1.00,0,3.75,2.00,2.00,3.00,13.35,9.75,19.25
ST JOSEPH CCSD 169,Illinois,1737380,57.90,57.90,15.68,15.75,0,5.00,52.90,0,0,64.40,–,1.00,0,0,†,0,1.00,–,1.00,–,2.00,–,1.50,–
ST JOSEPH OGDEN CHSD 305,Illinois,1737410,33.00,33.00,13.85,13.73,0,0,0,33.00,0,37.05,–,0,0,1.00,†,1.00,1.00,–,1.00,–,1.00,–,="0.05",–
ST LIBORY CONS SD 30,Illinois,1737440,10.40,10.40,10.58,10.29,0,1.00,9.40,0,0,11.40,–,0,0,0,†,0,0,–,1.00,–,0,–,0,–
ST LOUIS LANG IMMERSION SCHOOL,Missouri,2900586,8.00,10.40,20.88,16.06,0,6.00,2.00,0,†,13.00,0,0,0,0,†,0,0,0,0,4.00,0,0,0,1.00
ST MARIES JOINT DISTRICT,Idaho,1603060,64.30,64.30,16.59,16.59,1.00,2.50,28.35,32.45,†,121.83,13.27,1.00,1.00,2.00,†,3.00,0,1.82,1.00,3.00,3.00,5.52,2.00,23.92
ST MARY'S ACADEMY CHARTER SCHOOL,Texas,4800177,24.37,24.38,13.66,13.66,0,3.96,16.73,0,3.68,60.08,15.00,0,–,–,="0.32",="0.32",="0.22",1.84,1.21,5.30,="0.85",1.78,="0.22",8.97
ST MARYS CITY,Ohio,3904472,138.34,113.11,16.35,20.00,0,8.49,53.12,71.46,5.27,259.60,9.91,0,–,–,5.87,5.87,2.00,0,2.00,18.38,6.00,9.71,18.88,48.51
ST PAUL CONSERVATORY PERFORMING ART,Minnesota,2700351,25.17,25.17,18.20,18.24,0,0,0,25.17,0,37.46,="0.15",="0.34",0,0,†,0,0,0,3.19,0,1.83,4.50,2.15,="0.13"
ST PAUL PUBLIC SCHOOLS,Nebraska,3100085,49.76,49.76,13.08,13.08,1.00,3.00,21.87,23.89,†,95.40,9.00,1.24,1.00,1.00,†,2.00,1.00,1.00,2.00,0,2.00,3.00,2.40,22.00
ST PAUL SD 45,Oregon,4111760,21.56,17.05,12.34,15.60,0,1.30,11.90,8.36,†,34.03,0,0,–,–,†,–,0,0,="0.50",8.85,1.10,2.02,0,0
ST REGIS K-12 SCHOOLS,Montana,3024930,17.68,17.69,9.79,9.78,–,–,11.10,6.58,†,25.92,4.50,0,="0.43",="0.56",†,="0.99",="0.75",–,="0.90",–,1.10,–,0,–
ST ROSE SD 14-15,Illinois,1737470,14.12,14.12,12.68,12.61,1.00,1.00,12.12,0,0,15.12,–,0,0,0,†,0,0,–,1.00,–,0,–,0,–
ST THOMAS 43,North Dakota,3817520,20.57,20.57,4.72,4.72,0,1.50,8.50,10.57,†,29.61,1.73,0,–,–,="0.34",="0.34",="0.49",0,1.00,0,="0.75",="0.90",="0.83",3.00
ST. ANTHONY-NEW BRIGHTON SCHOOLS,Minnesota,2733420,99.98,99.05,18.16,18.10,0,4.10,42.99,52.56,="0.33",189.09,18.80,2.94,1.00,0,†,1.00,1.00,2.18,4.88,6.55,6.60,4.93,20.33,19.90
ST. BERNARD PARISH,Louisiana,2201410,409.13,409.12,12.87,12.87,30.00,22.00,223.84,133.29,†,791.51,97.62,21.00,6.50,5.50,†,12.00,9.00,6.00,3.00,25.00,23.00,15.00,40.76,130.00
ST. CHARLES COMMUNITY SCHOOLS,Michigan,2632640,62.20,62.20,18.20,18.02,0,3.00,20.40,29.60,9.20,132.70,15.20,="0.10",1.00,1.00,†,2.00,0,0,1.90,1.00,5.20,8.10,10.77,26.23
ST. CHARLES PARISH,Louisiana,2201440,812.96,787.98,11.86,12.24,12.00,38.00,534.53,228.43,†,1650.65,156.00,16.25,20.19,9.81,†,30.00,18.00,9.00,5.00,54.00,52.00,63.00,72.85,361.59
ST. CHARLES PUBLIC SCHOOL DISTRICT,Minnesota,2733450,61.38,60.67,16.34,16.55,1.20,2.40,28.69,28.42,="0.67",107.08,13.09,1.20,0,1.00,†,1.00,1.00,2.58,2.17,1.00,2.00,3.00,8.90,9.76
ST. CHARLES R-VI,Missouri,2928920,412.73,423.33,12.56,12.24,0,21.00,138.63,253.10,†,811.28,49.49,2.57,3.94,12.00,2.00,17.94,9.00,4.00,7.00,65.00,16.00,0,20.55,207.00
ST. CLAIR COUNTY INTERVENTION ACADEMY,Michigan,2600316,10.00,10.00,7.20,7.10,0,0,0,0,10.00,11.00,0,0,0,0,†,0,0,0,0,0,0,1.00,0,0
ST. CLAIR COUNTY LEARNING ACADEMY,Michigan,2600120,3.00,3.00,10.67,10.67,0,0,0,0,3.00,5.80,="0.80",0,0,0,†,0,0,0,0,0,0,1.00,1.00,0
ST. CLAIR COUNTY RESA,Michigan,2680940,30.01,25.01,6.13,6.72,0,0,0,0,30.01,291.94,47.24,29.78,0,3.00,†,3.00,0,3.49,19.57,2.00,4.00,33.17,24.70,94.98
ST. CLAIR PUBLIC SCHOOL DISTRICT,Minnesota,2733480,35.44,35.24,16.93,16.94,="0.70",2.50,17.71,14.33,="0.20",68.46,7.16,="0.17",0,1.00,†,1.00,1.00,="0.48",2.59,2.00,1.50,2.00,6.03,9.09
ST. CLAIR R-XIII,Missouri,2929100,172.82,192.45,13.35,11.99,7.98,10.00,53.50,101.34,†,399.83,59.70,2.42,2.40,3.17,="0.73",6.30,4.00,0,4.00,13.00,9.00,1.00,16.34,111.25
ST. CLOUD PUBLIC SCHOOL DISTRICT,Minnesota,2733510,656.47,639.46,14.49,14.82,28.27,38.72,297.14,273.90,18.44,1413.36,218.97,20.90,5.20,17.17,†,22.37,9.80,11.25,8.64,25.88,24.00,59.25,182.13,173.70
ST. CROIX PREPARATORY ACADEMY,Minnesota,2700362,49.21,45.55,17.90,19.34,0,3.40,25.04,18.61,2.16,78.11,13.14,0,0,0,†,0,0,0,5.07,1.00,1.00,3.00,4.19,1.50
ST. CROIX RIVER EDUCATION DISTRICT,Minnesota,2700015,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ST. ELIZABETH R-IV,Missouri,2929130,23.24,23.30,10.84,10.82,="0.43",1.19,10.56,11.06,†,42.95,1.29,="0.70",="0.41",="0.59",†,1.00,1.07,0,1.00,2.50,1.00,0,="0.15",11.00
ST. FRANCIS PUBLIC SCHOOL DISTRICT,Minnesota,2733540,303.92,293.07,17.98,18.72,6.16,10.00,130.75,143.66,13.35,675.36,99.36,11.00,0,6.00,†,6.00,1.00,3.63,11.00,17.50,11.00,24.35,65.92,120.68
ST. HELENA PARISH,Louisiana,2201470,85.31,84.06,14.46,14.68,4.00,4.80,33.26,43.25,†,181.18,14.00,5.15,2.00,1.33,†,3.33,3.00,0,2.00,7.00,2.85,5.77,12.27,40.50
ST. HOSP. TRAINING CENTER PARSONS,Kansas,2000022,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ST. IGNACE AREA SCHOOLS,Michigan,2600012,37.38,37.38,17.74,17.58,0,2.00,14.29,17.71,3.38,79.27,10.88,0,0,1.00,†,1.00,0,0,2.00,="0.50",1.00,5.40,1.81,19.30
ST. JAMES PARISH,Louisiana,2201500,331.78,328.76,11.82,11.92,17.00,15.00,193.23,106.55,†,649.59,73.00,14.50,3.64,3.13,†,6.77,9.00,0,4.00,20.00,19.62,16.00,39.08,115.84
ST. JAMES PUBLIC SCHOOL DISTRICT,Minnesota,2733600,78.01,†,14.50,14.31,2.00,5.00,35.24,35.77,0,169.64,37.29,="0.26",0,1.00,†,1.00,2.00,0,4.75,0,3.00,10.32,15.24,17.77
ST. JAMES R-I,Missouri,2929250,129.37,129.27,13.47,13.48,1.00,9.76,51.18,67.43,†,245.99,28.00,1.52,2.00,3.00,†,5.00,3.30,1.00,3.50,21.00,5.00,0,12.30,36.00
ST. JOHN SCHOOL DISTRICT,Washington,5308310,14.03,14.03,11.90,11.90,0,0,8.03,5.00,1.00,29.34,2.02,0,0,="0.50",†,="0.50",0,="0.36",="0.50",1.17,1.00,="0.75",0,9.01
ST. JOHN THE BAPTIST PARISH,Louisiana,2201530,534.92,526.88,11.69,11.87,10.00,21.89,347.15,155.88,†,1040.65,101.92,22.00,12.78,8.22,†,21.00,4.00,0,4.00,27.00,36.00,34.61,48.81,206.39
ST. JOHNS,Florida,1201740,1806.50,1646.00,16.62,18.24,16.00,114.00,608.50,703.00,365.00,3387.50,191.00,20.00,21.00,36.00,7.00,64.00,31.00,29.00,36.00,139.00,77.00,136.00,151.00,707.00
ST. JOHNS PUBLIC SCHOOLS,Michigan,2632820,171.90,171.90,19.06,18.87,0,6.50,53.65,81.35,30.40,386.41,38.93,3.06,1.00,0,5.00,6.00,0,8.22,4.00,1.00,11.00,20.50,12.89,108.91
ST. JOSEPH,Missouri,2927060,863.02,847.26,13.60,13.85,12.76,51.92,382.55,415.79,†,1877.08,173.50,10.70,14.82,18.00,="0.18",33.00,7.00,0,12.78,77.50,40.00,0,115.08,544.50
ST. JOSEPH COUNTY ISD,Michigan,2680960,39.90,39.90,3.51,3.21,0,0,0,0,39.90,153.75,29.00,7.00,0,0,†,0,0,0,14.71,3.00,0,14.00,23.80,22.34
ST. JOSEPH PUBLIC SCHOOLS,Michigan,2632850,145.54,142.49,19.63,19.85,0,4.50,45.30,76.94,18.80,283.89,23.20,2.00,0,4.00,1.00,5.00,5.00,0,5.50,2.00,9.00,14.50,8.25,63.90
ST. LANDRY PARISH,Louisiana,2201560,1115.22,1088.28,13.57,13.91,22.00,59.69,671.71,361.82,†,2234.19,347.35,31.76,7.53,11.14,†,18.67,17.00,1.00,6.00,44.98,57.69,57.80,100.00,436.72
ST. LOUIS CHARTER SCHOOL,Missouri,2900576,73.77,74.60,12.38,12.24,0,6.45,67.32,0,†,119.37,10.20,3.70,1.70,="0.85",†,2.55,2.00,0,2.15,8.00,1.00,0,4.00,12.00
ST. LOUIS CITY,Missouri,2929280,2225.06,2192.89,11.82,12.00,122.31,117.83,848.09,1136.83,†,3211.19,383.77,50.71,38.70,53.95,†,92.65,52.42,0,23.00,0,117.00,0,266.58,0
ST. LOUIS COUNTY SCHOOL DISTRICT,Minnesota,2700008,142.47,138.57,13.86,14.56,5.06,7.40,59.08,69.53,1.40,312.88,44.36,2.86,0,3.60,†,3.60,4.66,0,4.00,3.00,7.00,10.75,25.26,64.92
ST. LOUIS PARK PUBLIC SCHOOL DIST.,Minnesota,2733780,261.96,250.72,17.23,17.74,13.84,12.34,119.55,109.00,7.23,572.74,66.12,11.00,0,8.00,†,8.00,6.67,6.03,4.00,17.33,10.00,17.97,97.57,66.09
ST. LOUIS PUBLIC SCHOOLS,Michigan,2632880,67.00,67.00,18.33,18.13,1.00,4.00,22.00,32.00,8.00,142.00,13.50,="0.50",1.00,2.00,†,3.00,="0.50",2.00,5.00,0,3.00,10.00,2.50,35.00
ST. LUCIE,Florida,1201770,2405.00,2239.50,16.22,17.42,27.00,142.00,850.50,905.50,480.00,4705.00,327.00,3.00,21.00,56.00,35.00,112.00,36.00,1.00,27.00,246.00,102.00,253.00,141.00,1052.00
ST. MARTIN PARISH,Louisiana,2201590,545.44,528.39,15.41,15.91,25.00,23.00,344.91,152.53,†,1129.44,100.00,31.00,6.00,7.00,†,13.00,16.00,0,3.00,28.00,30.00,30.00,65.00,268.00
ST. MARY PARISH,Louisiana,2201620,727.46,715.82,13.11,13.32,27.00,36.94,443.40,220.12,†,1511.48,208.01,26.00,7.26,8.74,†,16.00,21.00,3.00,3.00,33.00,43.93,52.00,90.88,287.20
ST. MARY'S COUNTY PUBLIC SCHOOLS,Maryland,2400600,1059.23,1045.84,16.22,16.43,18.50,65.50,559.78,415.45,†,2092.56,266.68,11.50,23.59,19.41,†,43.00,28.60,8.86,67.67,58.20,69.00,77.00,96.07,306.75
ST. MICHAEL-ALBERTVILLE SCHOOL DIST,Minnesota,2733790,306.56,306.03,16.76,16.65,9.91,19.60,143.57,131.28,2.20,582.74,52.12,3.67,0,5.00,†,5.00,6.00,5.68,5.50,9.00,15.00,21.88,81.99,70.34
ST. PAUL CITY SCHOOL,Minnesota,2700142,25.99,24.99,12.70,13.21,0,2.50,16.51,5.98,1.00,50.82,7.00,1.83,0,0,†,0,1.00,2.00,2.00,0,1.00,2.00,4.25,3.75
ST. PAUL PUBLIC SCHOOL DISTRICT,Minnesota,2733840,2460.91,2387.34,15.66,15.96,91.47,231.20,1163.52,915.33,59.39,5613.56,955.73,243.14,6.50,69.20,†,75.70,18.60,0,127.00,93.40,111.00,138.70,738.60,650.78
ST. PETER PUBLIC SCHOOL DISTRICT,Minnesota,2733870,120.98,115.45,15.28,16.02,7.40,9.07,49.72,53.83,="0.96",238.20,38.98,3.37,0,2.00,†,2.00,2.50,3.07,8.64,2.68,5.00,10.05,19.55,21.38
ST. TAMMANY PARISH,Louisiana,2201650,2598.30,2564.51,13.86,14.05,46.00,141.00,1667.72,743.58,†,5350.44,537.35,57.90,56.06,36.89,†,92.95,56.00,42.09,17.00,165.10,134.00,169.50,320.49,1159.76
ST. VRAIN VALLEY SCHOOL DISTRICT NO. RE1J,Colorado,="0805370",1551.55,1537.12,17.22,17.39,56.75,102.20,781.00,611.60,†,3020.00,365.59,57.66,15.50,42.23,42.38,100.11,15.75,44.12,23.06,125.49,78.23,147.32,127.86,383.26
STAFFORD,Kansas,2011970,20.50,20.50,14.05,14.05,0,0,12.00,8.50,0,36.50,1.00,0,1.00,0,†,1.00,0,1.00,1.00,1.00,1.00,2.60,2.30,5.10
STAFFORD CO PBLC SCHS,Virginia,5103660,1494.62,1494.60,18.10,18.11,14.00,89.00,526.30,865.32,†,4099.58,408.50,224.00,24.55,37.15,71.10,132.80,33.00,66.50,28.00,56.00,86.00,159.40,373.30,1037.46
STAFFORD MSD,Texas,4841350,211.04,211.06,14.98,14.98,5.30,12.70,77.83,88.49,26.72,410.62,35.60,3.12,–,–,8.00,8.00,1.00,0,4.00,10.64,10.64,15.99,11.07,99.52
STAFFORD SCHOOL DISTRICT,Connecticut,="0904290",146.50,141.30,12.55,13.01,4.00,3.50,94.20,40.80,4.00,356.91,67.38,10.84,="0.90",1.69,†,2.59,2.00,6.00,7.00,10.90,7.00,8.00,9.00,79.70
STAFFORD TOWNSHIP SCHOOL DISTRICT,New Jersey,3415690,182.00,168.00,13.49,14.58,6.00,0,153.00,9.00,14.00,377.00,78.00,2.00,0,0,†,0,1.00,–,3.00,16.00,8.00,16.00,26.00,45.00
STAMBAUGH CHARTER ACADEMY,Ohio,3900467,26.00,26.00,20.73,20.73,0,3.27,16.43,6.30,0,45.26,6.88,2.00,–,–,†,–,0,0,3.00,3.25,0,0,3.50,="0.63"
STAMFORD ACADEMY,Connecticut,="0900031",8.00,8.00,16.38,16.38,0,0,0,8.00,0,21.20,3.00,0,0,0,†,0,0,0,1.00,0,2.00,0,6.20,1.00
STAMFORD CENTRAL SCHOOL DISTRICT,New York,3628020,41.26,45.26,9.48,8.64,1.00,2.00,14.03,19.98,4.25,91.50,15.00,0,1.50,0,†,1.50,="0.99",1.00,1.00,4.00,1.00,2.75,1.50,21.50
STAMFORD ISD,Texas,4841400,61.00,58.43,10.52,10.99,2.00,3.00,21.58,28.39,6.03,139.56,20.90,2.00,–,–,3.00,3.00,1.00,0,2.00,="0.90",3.00,4.96,12.34,28.46
STAMFORD SCHOOL DISTRICT,Vermont,5007680,5.90,5.90,18.81,11.36,0,="0.70",3.70,1.50,0,14.55,5.00,0,0,0,†,0,="0.65",0,0,0,1.00,1.00,0,1.00
