Agency ID - NCES Assigned [District] Latest available year,Agency Name,State Name [District] Latest available year,Urban-centric Locale [District] 2009-10,Student_Size,Lunch_Status,AFGR,i_agency_type_regional_education_services,i_lgo_PK,i_lgo_K,Total Number Operational Schools [Public School] 2009-10,i_fin_sdlc_sec,r_frev_ao,r_frev_dis,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2009-10,r_stud_reg_12_W_M,r_stud_reg_12_W_F,i_fin_sdlc_elem_sec,i_fin_sdlc_voc,r_stud_reg_12_W_F_LOWFULL,i_lgo_PK_LOWFULL,r_stud_reg_12_W_M_LOWFULL,i_lgo_K_LOWFULL,i_agency_type_local_school_district,r_frev_ao_LOWFULL,r_stud_re_B,r_stud_912,i_lgo_K_HIGHNOGE,i_lgo_PK_HIGHNOGE,i_fin_sdlc_sec_HIGHNOGE,r_st_TS,Total Number Operational Schools [Public School] 2009-10_HIGHNOGE,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2009-10_HIGHNOGE,r_frev_ao_HIGHNOGE,r_frev_dis_HIGHNOGE,r_stud_912_HIGHNOGE,i_fin_sdlc_voc_HIGHNOGE,i_lgo_K_LOWNOGE,i_lgo_PK_LOWNOGE,r_st_TS_LOWNOGE,i_fin_sdlc_voc_LOWNOGE,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2009-10_LOWNOGE,r_stud_912_LOWNOGE,r_frev_ao_LOWNOGE,i_ma_metropolitan,i_ucl_city_small,i_ma_micropolitan
5100060,ACCOMACK CO PBLC SCHS,Virginia,43-Rural: Remote,Large,Average,69.2,0,1,0,13.0,0,0.211085891769,0.139051487278,10270.0,0.0209953343701,0.0190513219285,1,0,0.0190513219285,1,0.0209953343701,0,1,0.211085891769,0.375972006221,0.28965785381,0,1,0,0.17249222395,13.0,10270.0,0.211085891769,0.139051487278,0.28965785381,0,0,1,0.17249222395,0,10270.0,0.28965785381,0.211085891769,0,0,0
4002370,ACHILLE,Oklahoma,42-Rural: Distant,Small,High,100.0,0,1,0,3.0,0,0.0,0.164658634538,10031.0,0.0255754475703,0.0306905370844,1,0,0.0306905370844,1,0.0255754475703,0,1,0.0,0.0127877237852,0.332480818414,0,1,0,0.176982097187,3.0,10031.0,0.0,0.164658634538,0.332480818414,0,0,1,0.176982097187,0,10031.0,0.332480818414,0.0,0,0,1
600001,ACTON-AGUA DULCE UNIFIED,California,42-Rural: Distant,Large,Low,77.0,0,0,1,4.0,0,0.0984182776801,0.536028119508,8421.0,0.0328690807799,0.0222841225627,1,0,0.0222841225627,0,0.0328690807799,1,1,0.0984182776801,0.00891364902507,0.33147632312,1,0,0,0.0726239554318,4.0,8421.0,0.0984182776801,0.536028119508,0.33147632312,0,1,0,0.0726239554318,0,8421.0,0.33147632312,0.0984182776801,1,0,0
2501710,ACTON-BOXBOROUGH,Massachusetts,21-Suburb: Large,Medium,Low,97.6,1,0,0,2.0,1,0.344860255803,0.432970156324,16258.0,0.0590443686007,0.0587030716724,0,0,0.0587030716724,0,0.0590443686007,0,0,0.344860255803,0.00750853242321,0.666552901024,0,0,1,0.100672354949,2.0,16258.0,0.344860255803,0.432970156324,0.666552901024,0,0,0,0.100672354949,0,16258.0,0.666552901024,0.344860255803,1,0,0
4002430,ADA,Oklahoma,33-Town: Remote,Medium,Average,81.7,0,1,0,6.0,0,0.0,0.206374758532,8850.0,0.0211161387632,0.0154600301659,1,0,0.0154600301659,1,0.0211161387632,0,1,0.0,0.0475113122172,0.263574660633,0,1,0,0.155844645551,6.0,8850.0,0.0,0.206374758532,0.263574660633,0,0,1,0.155844645551,0,8850.0,0.263574660633,0.0,0,0,1
3904518,ADA EXEMPTED VILLAGE,Ohio,32-Town: Distant,Small,Low,100.0,0,1,0,2.0,0,0.0,0.291563275434,10284.0,0.0278396436526,0.0211581291759,1,0,0.0211581291759,1,0.0278396436526,0,1,0.0,0.0144766146993,0.276169265033,0,1,0,0.113429844098,2.0,10284.0,0.0,0.291563275434,0.276169265033,0,0,1,0.113429844098,0,10284.0,0.276169265033,0.0,0,0,0
2700126,ADA-BORUP PUBLIC SCHOOL DISTRICT,Minnesota,43-Rural: Remote,Medium,Average,97.7,0,1,0,4.0,0,0.586206896552,0.0,10978.0,0.0388888888889,0.0314814814815,1,0,0.0314814814815,1,0.0388888888889,0,1,0.586206896552,0.00925925925926,0.338888888889,0,1,0,0.165110701107,4.0,10978.0,0.586206896552,0.0,0.338888888889,0,0,1,0.165110701107,0,10978.0,0.338888888889,0.586206896552,0,0,0
4002460,ADAIR,Oklahoma,42-Rural: Distant,Medium,High,79.1,0,1,0,3.0,0,0.0,0.274725274725,6882.0,0.0197044334975,0.0108374384236,1,0,0.0108374384236,1,0.0197044334975,0,1,0.0,0.00492610837438,0.279802955665,0,1,0,0.116256157635,3.0,6882.0,0.0,0.274725274725,0.279802955665,0,0,1,0.116256157635,0,6882.0,0.279802955665,0.0,0,0,0
2922980,ADAIR CO. R-I,Missouri,42-Rural: Distant,Small,Average,88.0,0,0,1,2.0,0,0.609657947686,0.056338028169,11777.0,0.0423076923077,0.0230769230769,1,0,0.0230769230769,0,0.0423076923077,1,1,0.609657947686,0.00384615384615,0.307692307692,1,0,0,0.158730769231,2.0,11777.0,0.609657947686,0.056338028169,0.307692307692,0,1,0,0.158730769231,0,11777.0,0.307692307692,0.609657947686,0,0,1
2905790,ADAIR CO. R-II,Missouri,42-Rural: Distant,Small,Average,84.2,0,0,1,2.0,0,0.556962025316,0.0907172995781,10149.0,0.0248962655602,0.0414937759336,1,0,0.0414937759336,0,0.0248962655602,1,1,0.556962025316,0.0290456431535,0.331950207469,1,0,0,0.17244813278,2.0,10149.0,0.556962025316,0.0907172995781,0.331950207469,0,1,0,0.17244813278,0,10149.0,0.331950207469,0.556962025316,0,0,1
2100030,ADAIR COUNTY,Kentucky,33-Town: Remote,Medium,High,72.4,0,1,0,6.0,0,0.378349178911,0.0,9717.0,0.0360983102919,0.0311059907834,1,0,0.0311059907834,1,0.0360983102919,0,1,0.378349178911,0.0264976958525,0.312980030722,0,1,0,0.178072196621,6.0,9717.0,0.378349178911,0.0,0.312980030722,0,0,1,0.178072196621,0,9717.0,0.312980030722,0.378349178911,0,0,0
1903090,ADAIR-CASEY COMM SCHOOL DISTRICT,Iowa,43-Rural: Remote,Medium,Low,89.3,0,1,0,2.0,0,0.452538631347,0.154525386313,9728.0,0.0364145658263,0.03081232493,1,0,0.03081232493,1,0.0364145658263,0,1,0.452538631347,0.0,0.302521008403,0,1,0,0.153218997361,2.0,9728.0,0.452538631347,0.154525386313,0.302521008403,0,0,1,0.153218997361,0,9728.0,0.302521008403,0.452538631347,1,0,0
806900,ADAMS 12 FIVE STAR SCHOOLS,Colorado,21-Suburb: Large,Large,Average,72.5,0,1,0,53.0,0,0.0582940265726,0.411190724805,9854.0,0.019619061241,0.0195952227705,1,0,0.0195952227705,1,0.019619061241,0,1,0.0582940265726,0.0271758563971,0.286967508165,0,1,0,0.102109227872,53.0,9854.0,0.0582940265726,0.411190724805,0.286967508165,0,0,1,0.102109227872,0,9854.0,0.286967508165,0.0582940265726,1,0,0
1800060,ADAMS CENTRAL COMMUNITY SCHOOLS,Indiana,42-Rural: Distant,Medium,Low,97.8,0,0,1,3.0,0,0.166902404526,0.0,10050.0,0.0307429547395,0.0461144321093,1,0,0.0461144321093,0,0.0307429547395,1,1,0.166902404526,0.00426985482494,0.31853116994,1,0,0,0.138343296328,3.0,10050.0,0.166902404526,0.0,0.31853116994,0,1,0,0.138343296328,0,10050.0,0.31853116994,0.166902404526,0,0,1
3102770,ADAMS CENTRAL PUBLIC SCHOOLS,Nebraska,41-Rural: Fringe,Small,Low,90.7,0,1,0,6.0,0,0.0229591836735,0.538265306122,13569.0,0.0419026047565,0.0453001132503,1,0,0.0453001132503,1,0.0419026047565,0,1,0.0229591836735,0.0147225368063,0.363533408834,0,1,0,0.137327293318,6.0,13569.0,0.0229591836735,0.538265306122,0.363533408834,0,0,1,0.137327293318,0,13569.0,0.363533408834,0.0229591836735,0,0,1
3906190,ADAMS COUNTY/OHIO VALLEY LOCAL,Ohio,42-Rural: Distant,Large,High,85.8,0,1,0,7.0,0,0.0,0.179202001946,16554.0,0.0403817914831,0.0372001957905,1,0,0.0372001957905,1,0.0403817914831,0,1,0.0,0.00269211943221,0.310327949094,0,1,0,0.136752325012,7.0,16554.0,0.0,0.179202001946,0.310327949094,0,0,1,0.136752325012,0,16554.0,0.310327949094,0.0,0,0,0
2601890,ADAMS TOWNSHIP SCHOOL DISTRICT,Michigan,41-Rural: Fringe,Small,Average,100.0,0,0,1,2.0,0,0.169491525424,0.0,8502.0,0.0444444444444,0.0288888888889,1,0,0.0288888888889,0,0.0444444444444,1,1,0.169491525424,0.00666666666667,0.324444444444,1,0,0,0.101315789474,2.0,8502.0,0.169491525424,0.0,0.324444444444,0,1,0,0.101315789474,0,8502.0,0.324444444444,0.169491525424,0,0,1
2501780,ADAMS-CHESHIRE,Massachusetts,41-Rural: Fringe,Medium,Average,73.2,1,1,0,3.0,0,0.166979362101,0.404627892433,13242.0,0.027027027027,0.0276705276705,1,0,0.0276705276705,1,0.027027027027,0,0,0.166979362101,0.024453024453,0.280566280566,0,1,0,0.130958815959,3.0,13242.0,0.166979362101,0.404627892433,0.280566280566,0,0,1,0.130958815959,0,13242.0,0.280566280566,0.166979362101,1,0,0
5500060,ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT,Wisconsin,43-Rural: Remote,Large,Average,90.8,0,1,0,5.0,0,0.229159519726,0.265180102916,12860.0,0.0359116022099,0.0419889502762,1,0,0.0419889502762,1,0.0359116022099,0,1,0.229159519726,0.0127071823204,0.308839779006,0,1,0,0.148563535912,5.0,12860.0,0.229159519726,0.265180102916,0.308839779006,0,0,1,0.148563535912,0,12860.0,0.308839779006,0.229159519726,0,0,0
